# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-ENAD-46
# Timestamp: Wed, 22-May-2024 15:40:47
Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon' .foldChange	'COVID-19' vs 'normal' in 'colon'.pValue	'COVID-19' vs 'normal' in 'lung' .foldChange	'COVID-19' vs 'normal' in 'lung'.pValue
ENSG00000000003	TSPAN6	0.2	0.813312168267391	-0.4	0.670523823787515
ENSG00000000005	TNMD	-1.9	0.0146707693326173	-0.2	0.883506955372642
ENSG00000000419	DPM1	0.6	0.208809855217115	0.7	0.139755999676328
ENSG00000000457	SCYL3	0.4	0.44877675666895	-0.1	0.872393309099661
ENSG00000000460	C1orf112	-1.0	1.41910383685132E-4	-0.9	0.0746635129872982
ENSG00000000938	FGR	0.3	0.740578078507895	0.6	0.266173203606666
ENSG00000000971	CFH	0.1	0.860951240806053	0.7	0.038879961605143
ENSG00000001036	FUCA2	-0.4	0.126942264041999	0.8	0.00368676418381077
ENSG00000001084	GCLC	0.6	0.102688993785216	1.4	0.00519693144546285
ENSG00000001167	NFYA	-0.2	0.724554741563877	-0.5	0.359025341002456
ENSG00000001460	STPG1	-0.3	0.37243761115853	-0.7	0.127735312309152
ENSG00000001461	NIPAL3	-0.5	0.154006838399214	-0.6	0.213587902651944
ENSG00000001497	LAS1L	0.3	0.63722246872442	-0.9	0.161344400952703
ENSG00000001561	ENPP4	0.9	0.0454493308517523		
ENSG00000001617	SEMA3F	-1.0	0.10912740544519		
ENSG00000001626	CFTR	-1.2	0.163542783220078	-0.4	0.54679387971058
ENSG00000001629	ANKIB1	0.4	0.0047156723621642	0.1	0.682004049666536
ENSG00000001630	CYP51A1	-0.4	0.733768200992946	-0.1	0.962332308198702
ENSG00000001631	KRIT1	0.6	0.0910015845711275	-0.2	0.602664038247751
ENSG00000002016	RAD52	-0.7	0.162479819560777	-1.4	2.16409750118665E-4
ENSG00000002079	MYH16			-0.9	0.553036976378691
ENSG00000002330	BAD	-2.3	7.92571720014652E-5	0.3	0.766601996416318
ENSG00000002549	LAP3	0.3	0.432305063497657	0.7	0.114637861652463
ENSG00000002586	CD99	0.5	0.190621386828789	0.8	0.0207011220780145
ENSG00000002587	HS3ST1	-0.6	0.370385433407653	-0.7	0.398714265902793
ENSG00000002726	AOC1	-2.6	0.00386101530345638		
ENSG00000002745	WNT16	0.2	0.836005746956971	1.3	0.0794149607813264
ENSG00000002746	HECW1	0.5	0.661606036658067	-1.0	0.296362638913639
ENSG00000002822	MAD1L1	-0.6	0.522425875265533	-0.1	0.898462056537115
ENSG00000002834	LASP1	-1.2	0.00384250615703599	-0.3	0.521970360418467
ENSG00000002919	SNX11	0.8	0.407549722771456	0.9	0.304342203962133
ENSG00000002933	TMEM176A	-0.7	0.262692498859987	-0.5	0.561222381049926
ENSG00000003056	M6PR			0.3	0.45799121001847
ENSG00000003096	KLHL13	0.2	0.7997094449167	0.3	0.715054994835416
ENSG00000003137	CYP26B1	0.2	0.884906240996672	1.2	0.219648303194695
ENSG00000003147	ICA1	-1.0	0.0202181885735246	-0.1	0.900163346235219
ENSG00000003249	DBNDD1	-0.5	0.67305605130529	-0.3	0.83306437349713
ENSG00000003393	ALS2	0.3	0.636364651576481		
ENSG00000003400	CASP10	-0.6	0.336612273723996	-0.3	0.61749467391288
ENSG00000003402	CFLAR	0.3	0.343950163107653	-0.8	9.36201003436023E-5
ENSG00000003436	TFPI	1.6	4.34415409437606E-4	0.8	0.00551461585192675
ENSG00000003509	NDUFAF7	0.4	0.431239123708137	-0.5	0.240721256519024
ENSG00000003756	RBM5	0.1	0.773310868611457	0.2	0.647205887081795
ENSG00000003987	MTMR7	-0.7	0.205556444640549	-0.9	0.18094203342954
ENSG00000003989	SLC7A2	1.9	4.30931565591605E-6	1.2	0.0129424337501096
ENSG00000004059	ARF5	-1.2	0.0696524305413336	1.3	0.0968288073651301
ENSG00000004139	SARM1	0.1	0.902658456429554	-0.7	0.400249344336979
ENSG00000004142	POLDIP2	-1.3	0.0250759046775154	0.6	0.114463162419513
ENSG00000004399	PLXND1	-0.7	0.0327957264856263	-0.6	0.0238428272961171
ENSG00000004455	AK2	0.8	0.106419227656201	0.9	0.0640239405768568
ENSG00000004468	CD38	-0.6	0.410120148234953	0.3	0.680883611586771
ENSG00000004478	FKBP4	-0.3	0.555088843395368	1.3	0.025928525279526
ENSG00000004487	KDM1A	-0.1	0.779120643222737	0.1	0.814417871169454
ENSG00000004534	RBM6	-1.2	2.01015185081254E-5	-0.3	0.589380576915687
ENSG00000004660	CAMKK1	-0.1	0.937348868796883	-0.4	0.722563032287977
ENSG00000004700	RECQL	0.3	0.619094846496284	0.6	0.24616699585243
ENSG00000004766	VPS50	0.1	0.906290700501482	-0.1	0.728303621401397
ENSG00000004776	HSPB6	1.3	0.0859585212586636	0.3	0.617687417640806
ENSG00000004777	ARHGAP33	-2.2	4.34330150791008E-5	-0.6	0.449838080192391
ENSG00000004779	NDUFAB1	-0.4	0.481042253203719	1.0	0.0215669492588117
ENSG00000004799	PDK4	1.0	0.213858023722623	0.2	0.834553180350058
ENSG00000004809	SLC22A16	-1.6	0.26875638224171	1.5	0.347228012031034
ENSG00000004838	ZMYND10	-2.3	0.0143262582302803	-1.0	0.456768391115855
ENSG00000004846	ABCB5	2.1	0.0118492783621605	0.2	0.917059858829864
ENSG00000004848	ARX	-2.4	0.0166770304276976	0.2	0.919881587726043
ENSG00000004864	SLC25A13	0.8	0.243819066985924	0.7	0.0547326512130138
ENSG00000004866	ST7	0.5	0.401315091302662	-0.6	0.362494389714467
ENSG00000004897	CDC27	0.7	0.00252207187237429	0.6	8.87258637539903E-4
ENSG00000004939	SLC4A1	-1.3	0.370334311222502	0.9	0.445345204576297
ENSG00000004948	CALCR	-1.0	0.408517333695399	-1.9	0.0505542207507266
ENSG00000004961	HCCS	1.4	0.0176792598214556	0.2	0.780800659107485
ENSG00000004975	DVL2	0.1	0.894572403545346	0.2	0.848700684276255
ENSG00000005001	PRSS22	-2.3	0.0714252302838539	0.6	0.702526951801421
ENSG00000005007	UPF1	-0.2	0.621511976562938	0.2	0.663163339794686
ENSG00000005020	SKAP2	0.7	0.110956718025192	0.4	0.392854047804452
ENSG00000005022	SLC25A5	-0.4	0.371604277432348	1.9	5.23766962119981E-6
ENSG00000005059	MCUB	0.2	0.602836664298624	1.3	1.72917851838114E-6
ENSG00000005073	HOXA11	0.5	0.562573020080666		
ENSG00000005075	POLR2J	0.1	0.85134504255554	0.8	0.299326962058745
ENSG00000005100	DHX33	0.1	0.930029373273178	0.5	0.507073893276094
ENSG00000005102	MEOX1	0.8	0.396255394110548	0.8	0.440984304364755
ENSG00000005108	THSD7A	0.6	0.232152933807117	-0.1	0.878932970936526
ENSG00000005156	LIG3	-0.1	0.828955446428253	-1.3	0.00237848433845097
ENSG00000005175	RPAP3	0.7	9.84370991539254E-5	1.0	0.00296316921442607
ENSG00000005187	ACSM3	0.6	0.437965263148367	-1.6	0.00130340871584344
ENSG00000005189	REXO5	0.3	0.757571476589656	-0.4	0.701124664808955
ENSG00000005194	CIAPIN1	-0.1	0.910898087818337	0.2	0.832374830972424
ENSG00000005206	SPPL2B	-0.6	0.444474138635103	-0.5	0.561780081901643
ENSG00000005238	FAM214B	-0.7	0.369666442446995	-0.4	0.64647815923015
ENSG00000005243	COPZ2	-0.4	0.489417874019939	0.8	0.381155732381754
ENSG00000005249	PRKAR2B	0.4	0.460643672191143	0.4	0.487154423176427
ENSG00000005302	MSL3	-0.4	0.407361007930588	0.2	0.821130158708629
ENSG00000005339	CREBBP	-0.3	0.307700385652639	-0.3	0.490142339054806
ENSG00000005379	TSPOAP1	-1.2	0.126973606554699	-1.5	0.0410046188204497
ENSG00000005381	MPO			2.6	0.0198214348102239
ENSG00000005421	PON1	-0.4	0.644876083660365	-1.6	0.115561452932381
ENSG00000005436	GCFC2	0.8	1.67904920252871E-6	-0.1	0.664308665726474
ENSG00000005448	WDR54	-1.0	0.25874849394229	-0.2	0.904695752979332
ENSG00000005469	CROT			0.4	0.439469154347202
ENSG00000005471	ABCB4	-2.1	0.0117079953133767	-1.4	0.0887079546310024
ENSG00000005483	KMT2E	0.3	0.151697051145239		
ENSG00000005486	RHBDD2	-0.6	0.147637680578726	-0.1	0.844743948653109
ENSG00000005513	SOX8	0.1	0.920731924073265	-1.7	0.272094964060813
ENSG00000005700	IBTK	-0.2	0.520605221126512	0.1	0.640606769103893
ENSG00000005801	ZNF195	-0.3	0.481665222022776	0.1	0.693016043471485
ENSG00000005810	MYCBP2	-0.1	0.749228852561505		
ENSG00000005812	FBXL3	0.9	5.00501324075388E-5	0.1	0.803270087457322
ENSG00000005844	ITGAL	-1.2	0.175386031524211	0.2	0.86044486268752
ENSG00000005882	PDK2	-0.5	0.475750259794718	-1.1	0.139839818812192
ENSG00000005884	ITGA3	-1.1	0.00903136379706467	-0.9	0.147496984127603
ENSG00000005889	ZFX	0.2	0.651883165841225	-0.1	0.850050323461354
ENSG00000005893	LAMP2	0.8	4.87761395738432E-4	0.6	9.22538012763594E-4
ENSG00000005961	ITGA2B	0.5	0.703520541044978	-0.6	0.662207879549717
ENSG00000005981	ASB4	-0.9	0.433025255474708	-0.3	0.837873115102217
ENSG00000006007	GDE1	-0.3	0.454092949545445	-0.2	0.771197872381329
ENSG00000006015	REX1BD	-2.5	1.25923852111424E-13	-0.3	0.691352209191492
ENSG00000006016	CRLF1	0.7	0.451321741447542	2.4	0.00615816391750691
ENSG00000006025	OSBPL7	-0.4	0.652680192862228	-1.2	0.103231740085302
ENSG00000006042	TMEM98	-1.1	0.0475269040631342	-0.2	0.756774211430937
ENSG00000006047	YBX2	-0.7	0.336383167126556	-1.9	0.0615136564639769
ENSG00000006062	MAP3K14	-1.3	0.0915113659035763	-1.8	0.00203329579998185
ENSG00000006071	ABCC8	-1.2	0.157683101542203	0.4	0.758598574128458
ENSG00000006118	TMEM132A	-2.7	0.00158167502370464	0.3	0.753934899813655
ENSG00000006125	AP2B1	0.1	0.71198936201757	0.1	0.854334418984611
ENSG00000006128	TAC1	1.9	0.0121786312631795	0.4	0.857007916573422
ENSG00000006194	ZNF263	0.1	0.879245525824216	-0.8	0.153847592753402
ENSG00000006210	CX3CL1	-0.4	0.502380597960038	-0.2	0.681424029665328
ENSG00000006282	SPATA20	-1.3	0.00886958547285439	-0.1	0.883241559171419
ENSG00000006283	CACNA1G	-2.3	0.0819343855320099	0.3	0.859107365696761
ENSG00000006327	TNFRSF12A	-0.8	0.487010429549882	0.9	0.212963921086614
ENSG00000006377	DLX6	-1.7	0.167008270140042		
ENSG00000006432	MAP3K9	-1.4	0.0631107456930552	-0.3	0.729689141143362
ENSG00000006451	RALA	0.5	0.350430311701256	0.1	0.921683874028126
ENSG00000006453	BAIAP2L1	0.1	0.949546668980094	-0.3	0.506199631613907
ENSG00000006459	KDM7A	0.5	0.277703720432304	0.5	0.12858341283806
ENSG00000006468	ETV1	1.5	0.00122403775476792	-1.5	0.0255555970792197
ENSG00000006530	AGK	-0.6	0.200026263496366	-0.3	0.445345204576297
ENSG00000006534	ALDH3B1	-0.8	0.189433174344536	-0.6	0.402565622881436
ENSG00000006555	TTC22	-1.9	0.00119019956099471	0.1	0.966424830799887
ENSG00000006576	PHTF2	-0.4	0.27941186507911	0.6	0.0536745958621407
ENSG00000006606	CCL26	-1.9	0.127220314920056	-1.1	0.486561924092177
ENSG00000006607	FARP2			-0.1	0.718911019978321
ENSG00000006611	USH1C	-1.7	0.0421906078546385	0.1	0.966607932811456
ENSG00000006625	GGCT	0.2	0.823660840793557	1.0	0.0799277237528495
ENSG00000006634	DBF4	-0.1	0.81144777488695	0.8	0.0896473971185194
ENSG00000006638	TBXA2R	-1.1	0.181651832652878	-0.5	0.649353556170251
ENSG00000006652	IFRD1	0.5	0.215158523933991	0.5	0.321861736736973
ENSG00000006695	COX10	-0.3	0.569009672795103	0.2	0.829694542481123
ENSG00000006704	GTF2IRD1	0.8	0.249701711399919	-0.2	0.813225511741197
ENSG00000006712	PAF1	-0.3	0.503603463887436	-0.1	0.926564663892949
ENSG00000006715	VPS41	-0.2	0.668526623771136	0.2	0.479693553363074
ENSG00000006740	ARHGAP44	-0.7	0.292025588131606	-1.2	0.00242047920130762
ENSG00000006744	ELAC2	-0.4	0.167030963848317	0.1	0.933726230325497
ENSG00000006747	SCIN	-1.5	0.0265445195583711	-1.1	0.105787845141706
ENSG00000006756	ARSD	-1.1	0.00982901093905883	-0.8	0.100331915072339
ENSG00000006757	PNPLA4	-1.0	0.134973757808589	-0.8	0.289103065035744
ENSG00000006788	MYH13	0.9	0.539242341124395		
ENSG00000006831	ADIPOR2	0.7	0.0231426611672001	0.7	0.0485261912973428
ENSG00000006837	CDKL3	0.6	0.41101274748633	-0.1	0.912072546150177
ENSG00000007001	UPP2	-1.4	0.258090459658951	-1.9	0.0390441152357952
ENSG00000007038	PRSS21	0.2	0.915072319667406	-2.2	0.0552891277920089
ENSG00000007047	MARK4	-0.1	0.879512488463069	0.1	0.918675129632954
ENSG00000007062	PROM1	-1.4	0.00687327928875892	0.6	0.578942622316403
ENSG00000007080	CCDC124	0.2	0.855532596560573	0.1	0.925321795237079
ENSG00000007129	CEACAM21	-2.0	0.0269514457304265	-0.9	0.371878313247127
ENSG00000007168	PAFAH1B1	0.1	0.747782757136471	-0.1	0.750040144436248
ENSG00000007171	NOS2	-1.6	0.117176010328345	-0.6	0.701801063380285
ENSG00000007174	DNAH9	-0.1	0.956966878820375	-0.5	0.689532787179836
ENSG00000007202	KIAA0100	-0.1	0.782812868525154	0.1	0.788350818110747
ENSG00000007216	SLC13A2	-3.7	5.77169302421927E-6		
ENSG00000007237	GAS7	0.6	0.254014395847382	0.1	0.875914671151752
ENSG00000007255	TRAPPC6A	-2.0	0.00147224591084624	-2.0	0.0699674936685445
ENSG00000007264	MATK	-3.4	2.18442846248017E-4	-0.1	0.94668733010317
ENSG00000007306	CEACAM7	-1.4	0.277583064020191	0.3	0.859401400738575
ENSG00000007312	CD79B	-1.6	0.147523683320445		
ENSG00000007314	SCN4A	-3.8	1.06408998351953E-4		
ENSG00000007341	ST7L	0.7	0.0357636525388711	0.2	0.673505591049701
ENSG00000007350	TKTL1	-0.2	0.91490069820287	0.1	0.966278615756118
ENSG00000007372	PAX6	-3.1	3.3337057100736E-4	0.2	0.920194722223337
ENSG00000007376	RPUSD1	-1.8	0.011847156472252	1.3	0.175098535792455
ENSG00000007384	RHBDF1	0.1	0.912055267249595	-0.4	0.603506983336255
ENSG00000007392	LUC7L	0.2	0.591927202564167	0.2	0.696183432286069
ENSG00000007402	CACNA2D2	-0.7	0.395941851167072	-3.3	2.18148147401875E-8
ENSG00000007516	BAIAP3	-3.6	7.80178774121572E-5	-0.7	0.560254002087875
ENSG00000007520	TSR3	-1.8	0.00768445521441272	1.4	0.167644951374193
ENSG00000007541	PIGQ	-1.1	0.174986810815186	0.1	0.916616209627719
ENSG00000007545	CRAMP1			-0.7	0.3666508855155
ENSG00000007866	TEAD3	0.2	0.709369047025031	0.5	0.574799224750784
ENSG00000007908	SELE	-1.5	0.152003324586442	0.2	0.851813637534226
ENSG00000007923	DNAJC11	-0.6	0.120391235492367	-0.1	0.887892056259647
ENSG00000007933	FMO3	0.3	0.771359469878252	-1.2	0.0267643075213343
ENSG00000007944	MYLIP	-0.8	0.232865241973134	-0.5	0.3460712778529
ENSG00000007952	NOX1	-1.5	0.0854794494666147	0.8	0.519004339767435
ENSG00000007968	E2F2	-0.8	0.418073339214508	2.8	0.0248042938453593
ENSG00000008018	PSMB1			0.3	0.58692707148079
ENSG00000008056	SYN1	0.8	0.428493286687826	2.0	0.0046787686912173
ENSG00000008083	JARID2	-0.6	0.152029958335427	0.2	0.825509449866953
ENSG00000008086	CDKL5	0.4	0.4147480031415	-0.6	0.0159694952731278
ENSG00000008118	CAMK1G	-0.7	0.552780117481768	-2.5	0.0173752738511193
ENSG00000008128	CDK11A	-0.7	0.439537891048306	-1.5	0.10632041942892
ENSG00000008130	NADK	-0.3	0.749989764657728	0.2	0.710010689776598
ENSG00000008196	TFAP2B	-0.8	0.588983155071967		
ENSG00000008226	DLEC1	-4.1	4.03190198277785E-8	-0.1	0.943349788939823
ENSG00000008256	CYTH3	-0.7	0.193895827948007	-0.3	0.631620442690807
ENSG00000008277	ADAM22	-0.6	0.209570540237199	-0.4	0.585945726165622
ENSG00000008282	SYPL1	1.0	2.57428522377522E-6	0.6	0.0303663470108272
ENSG00000008283	CYB561	-2.5	7.84134111821707E-8	-1.2	0.0459121376113771
ENSG00000008294	SPAG9	0.5	0.0330799907037865	0.2	0.522706564452333
ENSG00000008300	CELSR3	-1.4	0.0357747393368903	0.1	0.957699696944487
ENSG00000008311	AASS	1.4	3.4150780269644E-4	-1.0	0.0153779577013237
ENSG00000008323	PLEKHG6	-2.4	1.19627485693133E-4	-3.9	4.50293596464681E-7
ENSG00000008324	SS18L2	0.7	0.189366342831556	0.8	0.388760362863105
ENSG00000008382	MPND	-1.8	6.13652201263065E-4	-0.2	0.843101994625625
