Gene_ID,Gene_Name,Colon_FoldChange,Colon_pValue,Lung_FoldChange,Lung_pValue,Abs_Colon_FoldChange,Abs_Lung_FoldChange
ENSG00000000005,TNMD,-1.9,0.0146707693326173,-0.2,0.883506955372642,1.9,0.2
ENSG00000002330,BAD,-2.3,7.92571720014652e-05,0.3,0.766601996416318,2.3,0.3
ENSG00000003436,TFPI,1.6,0.000434415409437606,0.8,0.0055146158519267,1.6,0.8
ENSG00000003989,SLC7A2,1.9,4.30931565591605e-06,1.2,0.0129424337501096,1.9,1.2
ENSG00000004777,ARHGAP33,-2.2,4.34330150791008e-05,-0.6,0.449838080192391,2.2,0.6
ENSG00000004838,ZMYND10,-2.3,0.0143262582302803,-1.0,0.456768391115855,2.3,1.0
ENSG00000004846,ABCB5,2.1,0.0118492783621605,0.2,0.917059858829864,2.1,0.2
ENSG00000004848,ARX,-2.4,0.0166770304276976,0.2,0.919881587726043,2.4,0.2
ENSG00000005471,ABCB4,-2.1,0.0117079953133767,-1.4,0.0887079546310024,2.1,1.4
ENSG00000006015,REX1BD,-2.5,1.2592385211142399e-13,-0.3,0.691352209191492,2.5,0.3
ENSG00000006118,TMEM132A,-2.7,0.0015816750237046,0.3,0.753934899813655,2.7,0.3
ENSG00000006128,TAC1,1.9,0.0121786312631795,0.4,0.857007916573422,1.9,0.4
ENSG00000006468,ETV1,1.5,0.0012240377547679,-1.5,0.0255555970792197,1.5,1.5
ENSG00000006555,TTC22,-1.9,0.0011901995609947,0.1,0.966424830799887,1.9,0.1
ENSG00000006611,USH1C,-1.7,0.0421906078546385,0.1,0.966607932811456,1.7,0.1
ENSG00000006747,SCIN,-1.5,0.0265445195583711,-1.1,0.105787845141706,1.5,1.1
ENSG00000007129,CEACAM21,-2.0,0.0269514457304265,-0.9,0.371878313247127,2.0,0.9
ENSG00000007255,TRAPPC6A,-2.0,0.0014722459108462,-2.0,0.0699674936685445,2.0,2.0
ENSG00000007264,MATK,-3.4,0.000218442846248017,-0.1,0.94668733010317,3.4,0.1
ENSG00000007372,PAX6,-3.1,0.00033337057100736,0.2,0.920194722223337,3.1,0.2
ENSG00000007376,RPUSD1,-1.8,0.011847156472252,1.3,0.175098535792455,1.8,1.3
ENSG00000007516,BAIAP3,-3.6,7.80178774121572e-05,-0.7,0.560254002087875,3.6,0.7
ENSG00000007520,TSR3,-1.8,0.0076844552144127,1.4,0.167644951374193,1.8,1.4
ENSG00000008226,DLEC1,-4.1,4.03190198277785e-08,-0.1,0.943349788939823,4.1,0.1
ENSG00000008283,CYB561,-2.5,7.84134111821707e-08,-1.2,0.0459121376113771,2.5,1.2
ENSG00000008323,PLEKHG6,-2.4,0.000119627485693133,-3.9,4.50293596464681e-07,2.4,3.9
ENSG00000008382,MPND,-1.8,0.000613652201263065,-0.2,0.843101994625625,1.8,0.2
ENSG00000008516,MMP25,-2.7,0.000405860555718147,1.6,0.132067960454037,2.7,1.6
ENSG00000010310,GIPR,-2.3,0.000607009698851675,-1.5,0.0102952501086397,2.3,1.5
ENSG00000010671,BTK,-1.6,0.0293707053184118,-0.1,0.844650706948856,1.6,0.1
ENSG00000011590,ZBTB32,-4.1,5.2317225213817e-05,-1.3,0.256368888327927,4.1,1.3
ENSG00000012660,ELOVL5,1.7,5.86287212505543e-08,1.0,4.76267272845952e-06,1.7,1.0
ENSG00000013293,SLC7A14,1.5,0.0322703448465946,-1.0,0.241375964997748,1.5,1.0
ENSG00000013725,CD6,-1.9,0.0209741595301863,-0.9,0.331258154206393,1.9,0.9
ENSG00000013810,TACC3,-2.4,0.000560956585827715,0.3,0.736387011098709,2.4,0.3
ENSG00000014138,POLA2,-1.5,0.0093613092502003,0.2,0.776024094639647,1.5,0.2
ENSG00000014216,CAPN1,-1.5,0.000358266052708531,0.9,0.159880137601443,1.5,0.9
ENSG00000018408,WWTR1,1.8,5.91580859201408e-06,0.3,0.342480204170872,1.8,0.3
ENSG00000019102,VSIG2,-2.0,0.0201661450330183,-1.6,0.0370649062591346,2.0,1.6
ENSG00000019169,MARCO,3.0,0.0086632455030017,0.6,0.505838810808685,3.0,0.6
ENSG00000021300,PLEKHB1,1.5,9.05838493125085e-05,-0.5,0.618314151719298,1.5,0.5
ENSG00000023171,GRAMD1B,-1.8,0.0027855699347334,0.1,0.956282244908929,1.8,0.1
ENSG00000023892,DEF6,-2.4,8.58916038439627e-05,-0.5,0.673877818722712,2.4,0.5
ENSG00000025039,RRAGD,1.7,0.000902311876794031,0.3,0.664093919031422,1.7,0.3
ENSG00000025708,TYMP,-1.7,0.0017052323113765,-0.2,0.825632068443309,1.7,0.2
ENSG00000025770,NCAPH2,-1.6,0.0019264589036718,-1.0,0.295330403227016,1.6,1.0
ENSG00000026036,RTEL1-TNFRSF6B,-2.4,0.0169851366773484,-1.9,0.116588507747255,2.4,1.9
ENSG00000026751,SLAMF7,-2.0,0.0080335238959919,0.1,0.897143790262619,2.0,0.1
ENSG00000035499,DEPDC1B,-1.7,0.0268566944323135,0.1,0.951149623943472,1.7,0.1
ENSG00000036448,MYOM2,-1.6,0.0129745504570241,-1.7,0.0371347612292406,1.6,1.7
ENSG00000036672,USP2,-1.5,0.0246212117326025,-1.5,0.059971799128868,1.5,1.5
ENSG00000039650,PNKP,-1.5,0.0361096906059927,0.5,0.508822915752662,1.5,0.5
ENSG00000042781,USH2A,-1.9,0.010829801651076,-3.2,6.35965546727171e-05,1.9,3.2
ENSG00000043039,BARX2,-3.0,1.89947638521505e-06,-0.5,0.768859669171039,3.0,0.5
ENSG00000047578,KATNIP,-1.8,0.000185904322194723,0.2,0.805607169950292,1.8,0.2
ENSG00000047617,ANO2,1.7,0.042575405943509,-1.0,0.0790887857781496,1.7,1.0
ENSG00000048462,TNFRSF17,-2.4,0.000483746091490402,0.4,0.725235450488882,2.4,0.4
ENSG00000049089,COL9A2,-2.8,5.81802141520095e-05,-0.6,0.603604919328875,2.8,0.6
ENSG00000049283,EPN3,-2.3,0.001299165900644,1.0,0.508013595982013,2.3,1.0
ENSG00000049768,FOXP3,-3.3,8.24896696582193e-05,0.7,0.514190298352409,3.3,0.7
ENSG00000050730,TNIP3,-1.6,0.0200783482126525,0.5,0.66561375431043,1.6,0.5
ENSG00000050767,COL23A1,-3.4,0.000238701162741589,-0.6,0.639606652314885,3.4,0.6
ENSG00000052850,ALX4,-2.7,0.000674315774942437,-1.4,0.148014943714769,2.7,1.4
ENSG00000053371,AKR7A2,-1.6,0.0130291707349368,0.2,0.817036813549069,1.6,0.2
ENSG00000053918,KCNQ1,-2.8,0.000133257387641016,-1.4,0.0498803245160002,2.8,1.4
ENSG00000056998,GYG2,-1.6,0.039032888998341,0.7,0.55650637677908,1.6,0.7
ENSG00000057593,F7,-2.5,0.0239258381037167,0.9,0.537375021016097,2.5,0.9
ENSG00000060138,YBX3,1.7,1.78880031611068e-05,0.3,0.503935671304462,1.7,0.3
ENSG00000060982,BCAT1,2.2,3.41834696564261e-05,1.6,5.37398569706997e-06,2.2,1.6
ENSG00000062282,DGAT2,-1.9,0.0087974250264786,2.5,0.0013489558518685,1.9,2.5
ENSG00000062822,POLD1,-1.7,0.008111128009829,0.4,0.772745570414687,1.7,0.4
