Gene ID,Gene Name,Lung_FoldChange,Lung_pValue
ENSG00000000003,TSPAN6,-0.4,0.670523823787515
ENSG00000000005,TNMD,-0.2,0.883506955372642
ENSG00000000419,DPM1,0.7,0.139755999676328
ENSG00000000457,SCYL3,-0.1,0.872393309099661
ENSG00000000460,C1orf112,-0.9,0.0746635129872982
ENSG00000000938,FGR,0.6,0.266173203606666
ENSG00000000971,CFH,0.7,0.038879961605143
ENSG00000001036,FUCA2,0.8,0.0036867641838107
ENSG00000001084,GCLC,1.4,0.0051969314454628
ENSG00000001167,NFYA,-0.5,0.359025341002456
ENSG00000001460,STPG1,-0.7,0.127735312309152
ENSG00000001461,NIPAL3,-0.6,0.213587902651944
ENSG00000001497,LAS1L,-0.9,0.161344400952703
ENSG00000001561,ENPP4,,
ENSG00000001617,SEMA3F,,
ENSG00000001626,CFTR,-0.4,0.54679387971058
ENSG00000001629,ANKIB1,0.1,0.682004049666536
ENSG00000001630,CYP51A1,-0.1,0.962332308198702
ENSG00000001631,KRIT1,-0.2,0.602664038247751
ENSG00000002016,RAD52,-1.4,0.000216409750118665
ENSG00000002079,MYH16,-0.9,0.553036976378691
ENSG00000002330,BAD,0.3,0.766601996416318
ENSG00000002549,LAP3,0.7,0.114637861652463
ENSG00000002586,CD99,0.8,0.0207011220780145
ENSG00000002587,HS3ST1,-0.7,0.398714265902793
ENSG00000002726,AOC1,,
ENSG00000002745,WNT16,1.3,0.0794149607813264
ENSG00000002746,HECW1,-1.0,0.296362638913639
ENSG00000002822,MAD1L1,-0.1,0.898462056537115
ENSG00000002834,LASP1,-0.3,0.521970360418467
ENSG00000002919,SNX11,0.9,0.304342203962133
ENSG00000002933,TMEM176A,-0.5,0.561222381049926
ENSG00000003056,M6PR,0.3,0.45799121001847
ENSG00000003096,KLHL13,0.3,0.715054994835416
ENSG00000003137,CYP26B1,1.2,0.219648303194695
ENSG00000003147,ICA1,-0.1,0.900163346235219
ENSG00000003249,DBNDD1,-0.3,0.83306437349713
ENSG00000003393,ALS2,,
ENSG00000003400,CASP10,-0.3,0.61749467391288
ENSG00000003402,CFLAR,-0.8,9.36201003436023e-05
ENSG00000003436,TFPI,0.8,0.0055146158519267
ENSG00000003509,NDUFAF7,-0.5,0.240721256519024
ENSG00000003756,RBM5,0.2,0.647205887081795
ENSG00000003987,MTMR7,-0.9,0.18094203342954
ENSG00000003989,SLC7A2,1.2,0.0129424337501096
ENSG00000004059,ARF5,1.3,0.0968288073651301
ENSG00000004139,SARM1,-0.7,0.400249344336979
ENSG00000004142,POLDIP2,0.6,0.114463162419513
ENSG00000004399,PLXND1,-0.6,0.0238428272961171
ENSG00000004455,AK2,0.9,0.0640239405768568
ENSG00000004468,CD38,0.3,0.680883611586771
ENSG00000004478,FKBP4,1.3,0.025928525279526
ENSG00000004487,KDM1A,0.1,0.814417871169454
ENSG00000004534,RBM6,-0.3,0.589380576915687
ENSG00000004660,CAMKK1,-0.4,0.722563032287977
ENSG00000004700,RECQL,0.6,0.24616699585243
ENSG00000004766,VPS50,-0.1,0.728303621401397
ENSG00000004776,HSPB6,0.3,0.617687417640806
ENSG00000004777,ARHGAP33,-0.6,0.449838080192391
ENSG00000004779,NDUFAB1,1.0,0.0215669492588117
ENSG00000004799,PDK4,0.2,0.834553180350058
ENSG00000004809,SLC22A16,1.5,0.347228012031034
ENSG00000004838,ZMYND10,-1.0,0.456768391115855
ENSG00000004846,ABCB5,0.2,0.917059858829864
ENSG00000004848,ARX,0.2,0.919881587726043
ENSG00000004864,SLC25A13,0.7,0.0547326512130138
ENSG00000004866,ST7,-0.6,0.362494389714467
ENSG00000004897,CDC27,0.6,0.000887258637539903
ENSG00000004939,SLC4A1,0.9,0.445345204576297
ENSG00000004948,CALCR,-1.9,0.0505542207507266
ENSG00000004961,HCCS,0.2,0.780800659107485
ENSG00000004975,DVL2,0.2,0.848700684276255
ENSG00000005001,PRSS22,0.6,0.702526951801421
ENSG00000005007,UPF1,0.2,0.663163339794686
ENSG00000005020,SKAP2,0.4,0.392854047804452
ENSG00000005022,SLC25A5,1.9,5.23766962119981e-06
ENSG00000005059,MCUB,1.3,1.72917851838114e-06
ENSG00000005073,HOXA11,,
ENSG00000005075,POLR2J,0.8,0.299326962058745
ENSG00000005100,DHX33,0.5,0.507073893276094
ENSG00000005102,MEOX1,0.8,0.440984304364755
ENSG00000005108,THSD7A,-0.1,0.878932970936526
ENSG00000005156,LIG3,-1.3,0.0023784843384509
ENSG00000005175,RPAP3,1.0,0.002963169214426
ENSG00000005187,ACSM3,-1.6,0.0013034087158434
ENSG00000005189,REXO5,-0.4,0.701124664808955
ENSG00000005194,CIAPIN1,0.2,0.832374830972424
ENSG00000005206,SPPL2B,-0.5,0.561780081901643
ENSG00000005238,FAM214B,-0.4,0.64647815923015
ENSG00000005243,COPZ2,0.8,0.381155732381754
ENSG00000005249,PRKAR2B,0.4,0.487154423176427
ENSG00000005302,MSL3,0.2,0.821130158708629
ENSG00000005339,CREBBP,-0.3,0.490142339054806
ENSG00000005379,TSPOAP1,-1.5,0.0410046188204497
ENSG00000005381,MPO,2.6,0.0198214348102239
ENSG00000005421,PON1,-1.6,0.115561452932381
ENSG00000005436,GCFC2,-0.1,0.664308665726474
ENSG00000005448,WDR54,-0.2,0.904695752979332
ENSG00000005469,CROT,0.4,0.439469154347202
ENSG00000005471,ABCB4,-1.4,0.0887079546310024
ENSG00000005483,KMT2E,,
ENSG00000005486,RHBDD2,-0.1,0.844743948653109
ENSG00000005513,SOX8,-1.7,0.272094964060813
ENSG00000005700,IBTK,0.1,0.640606769103893
ENSG00000005801,ZNF195,0.1,0.693016043471485
ENSG00000005810,MYCBP2,,
ENSG00000005812,FBXL3,0.1,0.803270087457322
ENSG00000005844,ITGAL,0.2,0.86044486268752
ENSG00000005882,PDK2,-1.1,0.139839818812192
ENSG00000005884,ITGA3,-0.9,0.147496984127603
ENSG00000005889,ZFX,-0.1,0.850050323461354
ENSG00000005893,LAMP2,0.6,0.000922538012763594
ENSG00000005961,ITGA2B,-0.6,0.662207879549717
ENSG00000005981,ASB4,-0.3,0.837873115102217
ENSG00000006007,GDE1,-0.2,0.771197872381329
ENSG00000006015,REX1BD,-0.3,0.691352209191492
ENSG00000006016,CRLF1,2.4,0.0061581639175069
ENSG00000006025,OSBPL7,-1.2,0.103231740085302
ENSG00000006042,TMEM98,-0.2,0.756774211430937
ENSG00000006047,YBX2,-1.9,0.0615136564639769
ENSG00000006062,MAP3K14,-1.8,0.0020332957999818
ENSG00000006071,ABCC8,0.4,0.758598574128458
ENSG00000006118,TMEM132A,0.3,0.753934899813655
ENSG00000006125,AP2B1,0.1,0.854334418984611
ENSG00000006128,TAC1,0.4,0.857007916573422
ENSG00000006194,ZNF263,-0.8,0.153847592753402
ENSG00000006210,CX3CL1,-0.2,0.681424029665328
ENSG00000006282,SPATA20,-0.1,0.883241559171419
ENSG00000006283,CACNA1G,0.3,0.859107365696761
ENSG00000006327,TNFRSF12A,0.9,0.212963921086614
ENSG00000006377,DLX6,,
ENSG00000006432,MAP3K9,-0.3,0.729689141143362
ENSG00000006451,RALA,0.1,0.921683874028126
ENSG00000006453,BAIAP2L1,-0.3,0.506199631613907
ENSG00000006459,KDM7A,0.5,0.12858341283806
ENSG00000006468,ETV1,-1.5,0.0255555970792197
ENSG00000006530,AGK,-0.3,0.445345204576297
ENSG00000006534,ALDH3B1,-0.6,0.402565622881436
ENSG00000006555,TTC22,0.1,0.966424830799887
ENSG00000006576,PHTF2,0.6,0.0536745958621407
ENSG00000006606,CCL26,-1.1,0.486561924092177
ENSG00000006607,FARP2,-0.1,0.718911019978321
ENSG00000006611,USH1C,0.1,0.966607932811456
ENSG00000006625,GGCT,1.0,0.0799277237528495
ENSG00000006634,DBF4,0.8,0.0896473971185194
ENSG00000006638,TBXA2R,-0.5,0.649353556170251
ENSG00000006652,IFRD1,0.5,0.321861736736973
ENSG00000006695,COX10,0.2,0.829694542481123
ENSG00000006704,GTF2IRD1,-0.2,0.813225511741197
ENSG00000006712,PAF1,-0.1,0.926564663892949
ENSG00000006715,VPS41,0.2,0.479693553363074
