Gene ID	Gene Name_x	Colon_FoldChange	Colon_pValue	Gene Name_y	Lung_FoldChange	Lung_pValue
ENSG00000000003	TSPAN6	0.2_0.813312168267391	0.813312168267391	TSPAN6	-0.4_0.670523823787515	0.670523823787515
ENSG00000000005	TNMD	-1.9_0.0146707693326173	0.0146707693326173	TNMD	-0.2_0.883506955372642	0.883506955372642
ENSG00000000419	DPM1	0.6_0.208809855217115	0.208809855217115	DPM1	0.7_0.139755999676328	0.139755999676328
ENSG00000000457	SCYL3	0.4_0.44877675666895	0.44877675666895	SCYL3	-0.1_0.872393309099661	0.872393309099661
ENSG00000000460	C1orf112	-1.0_0.0001419103836851	0.0001419103836851	C1orf112	-0.9_0.0746635129872982	0.0746635129872982
ENSG00000000938	FGR	0.3_0.740578078507895	0.740578078507895	FGR	0.6_0.266173203606666	0.266173203606666
ENSG00000000971	CFH	0.1_0.860951240806053	0.860951240806053	CFH	0.7_0.038879961605143	0.038879961605143
ENSG00000001036	FUCA2	-0.4_0.126942264041999	0.126942264041999	FUCA2	0.8_0.0036867641838107	0.0036867641838107
ENSG00000001084	GCLC	0.6_0.102688993785216	0.102688993785216	GCLC	1.4_0.0051969314454628	0.0051969314454628
ENSG00000001167	NFYA	-0.2_0.724554741563877	0.724554741563877	NFYA	-0.5_0.359025341002456	0.359025341002456
ENSG00000001460	STPG1	-0.3_0.37243761115853	0.37243761115853	STPG1	-0.7_0.127735312309152	0.127735312309152
ENSG00000001461	NIPAL3	-0.5_0.154006838399214	0.154006838399214	NIPAL3	-0.6_0.213587902651944	0.213587902651944
ENSG00000001497	LAS1L	0.3_0.63722246872442	0.63722246872442	LAS1L	-0.9_0.161344400952703	0.161344400952703
ENSG00000001561	ENPP4	0.9_0.0454493308517523	0.0454493308517523	ENPP4	NA_NA	NA
ENSG00000001617	SEMA3F	-1.0_0.10912740544519	0.10912740544519	SEMA3F	NA_NA	NA
ENSG00000001626	CFTR	-1.2_0.163542783220078	0.163542783220078	CFTR	-0.4_0.54679387971058	0.54679387971058
ENSG00000001629	ANKIB1	0.4_0.0047156723621642	0.0047156723621642	ANKIB1	0.1_0.682004049666536	0.682004049666536
ENSG00000001630	CYP51A1	-0.4_0.733768200992946	0.733768200992946	CYP51A1	-0.1_0.962332308198702	0.962332308198702
ENSG00000001631	KRIT1	0.6_0.0910015845711275	0.0910015845711275	KRIT1	-0.2_0.602664038247751	0.602664038247751
ENSG00000002016	RAD52	-0.7_0.162479819560777	0.162479819560777	RAD52	-1.4_0.0002164097501186	0.0002164097501186
ENSG00000002079	MYH16	NA_NA	NA	MYH16	-0.9_0.553036976378691	0.553036976378691
ENSG00000002330	BAD	-2.3_7.92571720014652e-05	7.92571720014652e-05	BAD	0.3_0.766601996416318	0.766601996416318
ENSG00000002549	LAP3	0.3_0.432305063497657	0.432305063497657	LAP3	0.7_0.114637861652463	0.114637861652463
ENSG00000002586	CD99	0.5_0.190621386828789	0.190621386828789	CD99	0.8_0.0207011220780145	0.0207011220780145
ENSG00000002587	HS3ST1	-0.6_0.370385433407653	0.370385433407653	HS3ST1	-0.7_0.398714265902793	0.398714265902793
ENSG00000002726	AOC1	-2.6_0.0038610153034563	0.0038610153034563	AOC1	NA_NA	NA
ENSG00000002745	WNT16	0.2_0.836005746956971	0.836005746956971	WNT16	1.3_0.0794149607813264	0.0794149607813264
ENSG00000002746	HECW1	0.5_0.661606036658067	0.661606036658067	HECW1	-1.0_0.296362638913639	0.296362638913639
ENSG00000002822	MAD1L1	-0.6_0.522425875265533	0.522425875265533	MAD1L1	-0.1_0.898462056537115	0.898462056537115
ENSG00000002834	LASP1	-1.2_0.0038425061570359	0.0038425061570359	LASP1	-0.3_0.521970360418467	0.521970360418467
ENSG00000002919	SNX11	0.8_0.407549722771456	0.407549722771456	SNX11	0.9_0.304342203962133	0.304342203962133
ENSG00000002933	TMEM176A	-0.7_0.262692498859987	0.262692498859987	TMEM176A	-0.5_0.561222381049926	0.561222381049926
ENSG00000003056	M6PR	NA_NA	NA	M6PR	0.3_0.45799121001847	0.45799121001847
ENSG00000003096	KLHL13	0.2_0.7997094449167	0.7997094449167	KLHL13	0.3_0.715054994835416	0.715054994835416
ENSG00000003137	CYP26B1	0.2_0.884906240996672	0.884906240996672	CYP26B1	1.2_0.219648303194695	0.219648303194695
ENSG00000003147	ICA1	-1.0_0.0202181885735246	0.0202181885735246	ICA1	-0.1_0.900163346235219	0.900163346235219
ENSG00000003249	DBNDD1	-0.5_0.67305605130529	0.67305605130529	DBNDD1	-0.3_0.83306437349713	0.83306437349713
ENSG00000003393	ALS2	0.3_0.636364651576481	0.636364651576481	ALS2	NA_NA	NA
ENSG00000003400	CASP10	-0.6_0.336612273723996	0.336612273723996	CASP10	-0.3_0.61749467391288	0.61749467391288
ENSG00000003402	CFLAR	0.3_0.343950163107653	0.343950163107653	CFLAR	-0.8_9.36201003436023e-05	9.36201003436023e-05
ENSG00000003436	TFPI	1.6_0.0004344154094376	0.0004344154094376	TFPI	0.8_0.0055146158519267	0.0055146158519267
ENSG00000003509	NDUFAF7	0.4_0.431239123708137	0.431239123708137	NDUFAF7	-0.5_0.240721256519024	0.240721256519024
ENSG00000003756	RBM5	0.1_0.773310868611457	0.773310868611457	RBM5	0.2_0.647205887081795	0.647205887081795
ENSG00000003987	MTMR7	-0.7_0.205556444640549	0.205556444640549	MTMR7	-0.9_0.18094203342954	0.18094203342954
ENSG00000003989	SLC7A2	1.9_4.30931565591605e-06	4.30931565591605e-06	SLC7A2	1.2_0.0129424337501096	0.0129424337501096
ENSG00000004059	ARF5	-1.2_0.0696524305413336	0.0696524305413336	ARF5	1.3_0.0968288073651301	0.0968288073651301
ENSG00000004139	SARM1	0.1_0.902658456429554	0.902658456429554	SARM1	-0.7_0.400249344336979	0.400249344336979
ENSG00000004142	POLDIP2	-1.3_0.0250759046775154	0.0250759046775154	POLDIP2	0.6_0.114463162419513	0.114463162419513
ENSG00000004399	PLXND1	-0.7_0.0327957264856263	0.0327957264856263	PLXND1	-0.6_0.0238428272961171	0.0238428272961171
ENSG00000004455	AK2	0.8_0.106419227656201	0.106419227656201	AK2	0.9_0.0640239405768568	0.0640239405768568
ENSG00000004468	CD38	-0.6_0.410120148234953	0.410120148234953	CD38	0.3_0.680883611586771	0.680883611586771
ENSG00000004478	FKBP4	-0.3_0.555088843395368	0.555088843395368	FKBP4	1.3_0.025928525279526	0.025928525279526
ENSG00000004487	KDM1A	-0.1_0.779120643222737	0.779120643222737	KDM1A	0.1_0.814417871169454	0.814417871169454
ENSG00000004534	RBM6	-1.2_2.01015185081254e-05	2.01015185081254e-05	RBM6	-0.3_0.589380576915687	0.589380576915687
ENSG00000004660	CAMKK1	-0.1_0.937348868796883	0.937348868796883	CAMKK1	-0.4_0.722563032287977	0.722563032287977
ENSG00000004700	RECQL	0.3_0.619094846496284	0.619094846496284	RECQL	0.6_0.24616699585243	0.24616699585243
ENSG00000004766	VPS50	0.1_0.906290700501482	0.906290700501482	VPS50	-0.1_0.728303621401397	0.728303621401397
ENSG00000004776	HSPB6	1.3_0.0859585212586636	0.0859585212586636	HSPB6	0.3_0.617687417640806	0.617687417640806
ENSG00000004777	ARHGAP33	-2.2_4.34330150791008e-05	4.34330150791008e-05	ARHGAP33	-0.6_0.449838080192391	0.449838080192391
ENSG00000004779	NDUFAB1	-0.4_0.481042253203719	0.481042253203719	NDUFAB1	1.0_0.0215669492588117	0.0215669492588117
ENSG00000004799	PDK4	1.0_0.213858023722623	0.213858023722623	PDK4	0.2_0.834553180350058	0.834553180350058
ENSG00000004809	SLC22A16	-1.6_0.26875638224171	0.26875638224171	SLC22A16	1.5_0.347228012031034	0.347228012031034
ENSG00000004838	ZMYND10	-2.3_0.0143262582302803	0.0143262582302803	ZMYND10	-1.0_0.456768391115855	0.456768391115855
ENSG00000004846	ABCB5	2.1_0.0118492783621605	0.0118492783621605	ABCB5	0.2_0.917059858829864	0.917059858829864
ENSG00000004848	ARX	-2.4_0.0166770304276976	0.0166770304276976	ARX	0.2_0.919881587726043	0.919881587726043
ENSG00000004864	SLC25A13	0.8_0.243819066985924	0.243819066985924	SLC25A13	0.7_0.0547326512130138	0.0547326512130138
ENSG00000004866	ST7	0.5_0.401315091302662	0.401315091302662	ST7	-0.6_0.362494389714467	0.362494389714467
ENSG00000004897	CDC27	0.7_0.0025220718723742	0.0025220718723742	CDC27	0.6_0.0008872586375399	0.0008872586375399
ENSG00000004939	SLC4A1	-1.3_0.370334311222502	0.370334311222502	SLC4A1	0.9_0.445345204576297	0.445345204576297
ENSG00000004948	CALCR	-1.0_0.408517333695399	0.408517333695399	CALCR	-1.9_0.0505542207507266	0.0505542207507266
ENSG00000004961	HCCS	1.4_0.0176792598214556	0.0176792598214556	HCCS	0.2_0.780800659107485	0.780800659107485
ENSG00000004975	DVL2	0.1_0.894572403545346	0.894572403545346	DVL2	0.2_0.848700684276255	0.848700684276255
ENSG00000005001	PRSS22	-2.3_0.0714252302838539	0.0714252302838539	PRSS22	0.6_0.702526951801421	0.702526951801421
ENSG00000005007	UPF1	-0.2_0.621511976562938	0.621511976562938	UPF1	0.2_0.663163339794686	0.663163339794686
ENSG00000005020	SKAP2	0.7_0.110956718025192	0.110956718025192	SKAP2	0.4_0.392854047804452	0.392854047804452
ENSG00000005022	SLC25A5	-0.4_0.371604277432348	0.371604277432348	SLC25A5	1.9_5.23766962119981e-06	5.23766962119981e-06
ENSG00000005059	MCUB	0.2_0.602836664298624	0.602836664298624	MCUB	1.3_1.72917851838114e-06	1.72917851838114e-06
ENSG00000005073	HOXA11	0.5_0.562573020080666	0.562573020080666	HOXA11	NA_NA	NA
ENSG00000005075	POLR2J	0.1_0.85134504255554	0.85134504255554	POLR2J	0.8_0.299326962058745	0.299326962058745
ENSG00000005100	DHX33	0.1_0.930029373273178	0.930029373273178	DHX33	0.5_0.507073893276094	0.507073893276094
ENSG00000005102	MEOX1	0.8_0.396255394110548	0.396255394110548	MEOX1	0.8_0.440984304364755	0.440984304364755
ENSG00000005108	THSD7A	0.6_0.232152933807117	0.232152933807117	THSD7A	-0.1_0.878932970936526	0.878932970936526
ENSG00000005156	LIG3	-0.1_0.828955446428253	0.828955446428253	LIG3	-1.3_0.0023784843384509	0.0023784843384509
ENSG00000005175	RPAP3	0.7_9.84370991539254e-05	9.84370991539254e-05	RPAP3	1.0_0.002963169214426	0.002963169214426
ENSG00000005187	ACSM3	0.6_0.437965263148367	0.437965263148367	ACSM3	-1.6_0.0013034087158434	0.0013034087158434
ENSG00000005189	REXO5	0.3_0.757571476589656	0.757571476589656	REXO5	-0.4_0.701124664808955	0.701124664808955
ENSG00000005194	CIAPIN1	-0.1_0.910898087818337	0.910898087818337	CIAPIN1	0.2_0.832374830972424	0.832374830972424
ENSG00000005206	SPPL2B	-0.6_0.444474138635103	0.444474138635103	SPPL2B	-0.5_0.561780081901643	0.561780081901643
ENSG00000005238	FAM214B	-0.7_0.369666442446995	0.369666442446995	FAM214B	-0.4_0.64647815923015	0.64647815923015
ENSG00000005243	COPZ2	-0.4_0.489417874019939	0.489417874019939	COPZ2	0.8_0.381155732381754	0.381155732381754
ENSG00000005249	PRKAR2B	0.4_0.460643672191143	0.460643672191143	PRKAR2B	0.4_0.487154423176427	0.487154423176427
ENSG00000005302	MSL3	-0.4_0.407361007930588	0.407361007930588	MSL3	0.2_0.821130158708629	0.821130158708629
ENSG00000005339	CREBBP	-0.3_0.307700385652639	0.307700385652639	CREBBP	-0.3_0.490142339054806	0.490142339054806
ENSG00000005379	TSPOAP1	-1.2_0.126973606554699	0.126973606554699	TSPOAP1	-1.5_0.0410046188204497	0.0410046188204497
ENSG00000005381	MPO	NA_NA	NA	MPO	2.6_0.0198214348102239	0.0198214348102239
ENSG00000005421	PON1	-0.4_0.644876083660365	0.644876083660365	PON1	-1.6_0.115561452932381	0.115561452932381
ENSG00000005436	GCFC2	0.8_1.67904920252871e-06	1.67904920252871e-06	GCFC2	-0.1_0.664308665726474	0.664308665726474
ENSG00000005448	WDR54	-1.0_0.25874849394229	0.25874849394229	WDR54	-0.2_0.904695752979332	0.904695752979332
ENSG00000005469	CROT	NA_NA	NA	CROT	0.4_0.439469154347202	0.439469154347202
ENSG00000005471	ABCB4	-2.1_0.0117079953133767	0.0117079953133767	ABCB4	-1.4_0.0887079546310024	0.0887079546310024
ENSG00000005483	KMT2E	0.3_0.151697051145239	0.151697051145239	KMT2E	NA_NA	NA
ENSG00000005486	RHBDD2	-0.6_0.147637680578726	0.147637680578726	RHBDD2	-0.1_0.844743948653109	0.844743948653109
ENSG00000005513	SOX8	0.1_0.920731924073265	0.920731924073265	SOX8	-1.7_0.272094964060813	0.272094964060813
ENSG00000005700	IBTK	-0.2_0.520605221126512	0.520605221126512	IBTK	0.1_0.640606769103893	0.640606769103893
ENSG00000005801	ZNF195	-0.3_0.481665222022776	0.481665222022776	ZNF195	0.1_0.693016043471485	0.693016043471485
ENSG00000005810	MYCBP2	-0.1_0.749228852561505	0.749228852561505	MYCBP2	NA_NA	NA
ENSG00000005812	FBXL3	0.9_5.00501324075388e-05	5.00501324075388e-05	FBXL3	0.1_0.803270087457322	0.803270087457322
ENSG00000005844	ITGAL	-1.2_0.175386031524211	0.175386031524211	ITGAL	0.2_0.86044486268752	0.86044486268752
ENSG00000005882	PDK2	-0.5_0.475750259794718	0.475750259794718	PDK2	-1.1_0.139839818812192	0.139839818812192
ENSG00000005884	ITGA3	-1.1_0.0090313637970646	0.0090313637970646	ITGA3	-0.9_0.147496984127603	0.147496984127603
ENSG00000005889	ZFX	0.2_0.651883165841225	0.651883165841225	ZFX	-0.1_0.850050323461354	0.850050323461354
ENSG00000005893	LAMP2	0.8_0.0004877613957384	0.0004877613957384	LAMP2	0.6_0.0009225380127635	0.0009225380127635
ENSG00000005961	ITGA2B	0.5_0.703520541044978	0.703520541044978	ITGA2B	-0.6_0.662207879549717	0.662207879549717
ENSG00000005981	ASB4	-0.9_0.433025255474708	0.433025255474708	ASB4	-0.3_0.837873115102217	0.837873115102217
ENSG00000006007	GDE1	-0.3_0.454092949545445	0.454092949545445	GDE1	-0.2_0.771197872381329	0.771197872381329
ENSG00000006015	REX1BD	-2.5_1.25923852111424e-13	1.25923852111424e-13	REX1BD	-0.3_0.691352209191492	0.691352209191492
ENSG00000006016	CRLF1	0.7_0.451321741447542	0.451321741447542	CRLF1	2.4_0.0061581639175069	0.0061581639175069
ENSG00000006025	OSBPL7	-0.4_0.652680192862228	0.652680192862228	OSBPL7	-1.2_0.103231740085302	0.103231740085302
ENSG00000006042	TMEM98	-1.1_0.0475269040631342	0.0475269040631342	TMEM98	-0.2_0.756774211430937	0.756774211430937
ENSG00000006047	YBX2	-0.7_0.336383167126556	0.336383167126556	YBX2	-1.9_0.0615136564639769	0.0615136564639769
ENSG00000006062	MAP3K14	-1.3_0.0915113659035763	0.0915113659035763	MAP3K14	-1.8_0.0020332957999818	0.0020332957999818
ENSG00000006071	ABCC8	-1.2_0.157683101542203	0.157683101542203	ABCC8	0.4_0.758598574128458	0.758598574128458
ENSG00000006118	TMEM132A	-2.7_0.0015816750237046	0.0015816750237046	TMEM132A	0.3_0.753934899813655	0.753934899813655
ENSG00000006125	AP2B1	0.1_0.71198936201757	0.71198936201757	AP2B1	0.1_0.854334418984611	0.854334418984611
ENSG00000006128	TAC1	1.9_0.0121786312631795	0.0121786312631795	TAC1	0.4_0.857007916573422	0.857007916573422
